municipio,participacao
Lagoa do Barro do Piauí,0.00593
Lagoa de São Francisco,0.00061
Lagoa do Piauí,0.00084
Lagoa do Sítio,0.00054
Landri Sales,0.00122
Luís Correia,0.0042
Luzilândia,0.00268
Madeiro,0.00083
Manoel Emídio,0.00061
Marcolândia,0.0022
Marcos Parente,0.00061
Massapê do Piauí,0.00058
Matias Olímpio,0.00106
Miguel Alves,0.00347
Miguel Leão,0.00026
Milton Brandão,0.00059
Monsenhor Gil,0.00141
Monsenhor Hipólito,0.00081
Monte Alegre do Piauí,0.00331
Morro Cabeça no Tempo,0.00043
Morro do Chapéu do Piauí,0.00069
Murici dos Portelas,0.00083
Nazaré do Piauí,0.00074
Nazária,0.00105
Nossa Senhora de Nazaré,0.00053
Nossa Senhora dos Remédios,0.00087
Novo Oriente do Piauí,0.00065
Novo Santo Antônio,0.00035
Oeiras,0.00648
Olho D'Água do Piauí,0.00032
Padre Marcos,0.00082
Paes Landim,0.00049
Pajeú do Piauí,0.00058
Palmeira do Piauí,0.00157
Palmeirais,0.00154
Paquetá,0.00049
Parnaguá,0.00132
Parnaíba,0.03294
Passagem Franca do Piauí,0.00054
Patos do Piauí,0.00072
Pau D'Arco do Piauí,0.00037
Paulistana,0.00297
Pavussu,0.00042
Pedro II,0.00429
Pedro Laurentino,0.00035
Nova Santa Rita,0.00049
Picos,0.02153
Pimenteiras,0.00119
Pio IX,0.00225
Piracuruca,0.00403
Piripiri,0.01017
Porto,0.00132
Porto Alegre do Piauí,0.00044
Prata do Piauí,0.00031
Queimada Nova,0.00281
Redenção do Gurguéia,0.00109
Regeneração,0.00294
Riacho Frio,0.00051
Ribeira do Piauí,0.00241
Ribeiro Gonçalves,0.00772
Rio Grande do Piauí,0.00068
Santa Cruz do Piauí,0.00068
Santa Cruz dos Milagres,0.0005
Santa Filomena,0.00684
Santa Luz,0.00069
Santana do Piauí,0.00045
Santa Rosa do Piauí,0.00056
Santo Antônio de Lisboa,0.0008
Santo Antônio dos Milagres,0.0002
Santo Inácio do Piauí,0.00045
São Braz do Piauí,0.00044
São Félix do Piauí,0.00036
São Francisco de Assis do Piauí,0.00062
São Francisco do Piauí,0.00065
São Gonçalo do Gurguéia,0.00061
São Gonçalo do Piauí,0.00063
São João da Canabrava,0.00055
São João da Fronteira,0.00068
São João da Serra,0.00066
São João da Varjota,0.00041
São João do Arraial,0.00076
São João do Piauí,0.00474
São José do Divino,0.00071
São José do Peixe,0.00048
São José do Piauí,0.00076
São Julião,0.00066
São Lourenço do Piauí,0.0005
São Luis do Piauí,0.00028
São Miguel da Baixa Grande,0.0003
São Miguel do Fidalgo,0.00053
São Miguel do Tapuio,0.00181
São Pedro do Piauí,0.0015
São Raimundo Nonato,0.00628
Sebastião Barros,0.00052
Sebastião Leal,0.00283
Sigefredo Pacheco,0.00087
Simões,0.00482
Simplício Mendes,0.00203
Socorro do Piauí,0.00046
Sussuapara,0.00085
Tamboril do Piauí,0.00034
Tanque do Piauí,0.00037
Teresina,0.26514
União,0.00466
Uruçuí,0.03124
Valença do Piauí,0.00321
Várzea Branca,0.00049
Várzea Grande,0.00045
Vera Mendes,0.00034
Vila Nova do Piauí,0.00041
Wall Ferraz,0.00042
Abaiara,0.00131
Acarape,0.002
Acaraú,0.01132
Acopiara,0.00626
Aiuaba,0.00168
Alcântaras,0.00109
Altaneira,0.00083
Alto Santo,0.00258
Amontada,0.00738
Antonina do Norte,0.00088
Apuiarés,0.00134
Aquiraz,0.04277
Aracati,0.01894
Aracoiaba,0.00296
Ararendá,0.00118
Araripe,0.00231
Aratuba,0.00168
Arneiroz,0.00078
Assaré,0.00263
Aurora,0.00241
Baixio,0.00075
Banabuiú,0.00289
Barbalha,0.01493
Barreira,0.00266
Barro,0.00269
Barroquinha,0.00148
Baturité,0.00497
Beberibe,0.01175
Bela Cruz,0.00358
Boa Viagem,0.00598
Brejo Santo,0.00907
Camocim,0.00932
Campos Sales,0.00324
Canindé,0.01011
Capistrano,0.00196
Caridade,0.00207
Cariré,0.00214
Caririaçu,0.00281
Cariús,0.00201
Carnaubal,0.00185
Cascavel,0.01192
Catarina,0.00171
Catunda,0.00124
Caucaia,0.11556
Cedro,0.00274
Chaval,0.00122
Choró,0.00199
Chorozinho,0.00289
Coreaú,0.0025
Crateús,0.01057
Crato,0.02077
Croatá,0.00249
Cruz,0.00414
Deputado Irapuan Pinheiro,0.00112
Ereré,0.0009
Eusébio,0.0397
Farias Brito,0.00224
Forquilha,0.00338
Fortaleza,0.81486
Fortim,0.00347
Frecheirinha,0.00306
General Sampaio,0.00096
Graça,0.00144
Granja,0.00521
Granjeiro,0.00057
Groaíras,0.00123
Guaiúba,0.00257
Guaraciaba do Norte,0.00743
Guaramiranga,0.00089
Hidrolândia,0.00205
Horizonte,0.02349
Ibaretama,0.00147
Ibiapina,0.00387
Ibicuitinga,0.00139
Icapuí,0.00456
Icó,0.00818
Iguatu,0.02114
Independência,0.0034
Ipaporanga,0.00127
Ipaumirim,0.00159
Ipu,0.00577
Ipueiras,0.00364
Iracema,0.00217
Irauçuba,0.00244
Itaiçaba,0.00092
Itaitinga,0.01397
Itapajé,0.0066
Itapipoca,0.0198
Itapiúna,0.00189
Itarema,0.00851
Itatira,0.00193
Jaguaretama,0.00251
Jaguaribara,0.00171
Jaguaribe,0.00623
Jaguaruana,0.00629
Jardim,0.00326
Jati,0.00144
Jijoca de Jericoacoara,0.00612
Juazeiro do Norte,0.05675
Jucás,0.00354
Lavras da Mangabeira,0.00381
Limoeiro do Norte,0.01579
Madalena,0.00194
Maracanaú,0.13689
Maranguape,0.0183
Marco,0.00434
Martinópole,0.00107
Massapê,0.0042
Mauriti,0.00574
Meruoca,0.00143
Milagres,0.00319
Milhã,0.00217
Miraíma,0.00125
Missão Velha,0.00572
Mombaça,0.00496
Monsenhor Tabosa,0.00178
Morada Nova,0.01417
Moraújo,0.00084
Morrinhos,0.00214
Mucambo,0.00146
Mulungu,0.00137
Nova Olinda,0.00181
Nova Russas,0.00374
Novo Oriente,0.00314
Ocara,0.00316
Orós,0.00243
Pacajus,0.0151
Pacatuba,0.01371
Pacoti,0.00165
Pacujá,0.00067
Palhano,0.0011
Palmácia,0.00128
Paracuru,0.00617
Paraipaba,0.00594
Parambu,0.0032
